filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0215_R.wav,SAD,2.72,SAD,3.57,0.29,0.0,0.07,(F うん)(F うん),0.63,0.78,0.68,0.5
0219_R.wav,ANT,3.69,ACC,2.37,0.6,0.56,0.54,(F はい)そうです,0.31,0.56,0.47,1.2
0259_R.wav,ACC,3.62,DIS,3.74,0.26,0.05,0.11,(F うーん),0.62,0.7,0.6,1.61
0269_R.wav,FEA,1.49,SAD,2.91,0.65,0.55,0.48,んでまたお迎えが早いんですよ,0.34,0.53,0.37,0.67
0290_R.wav,SAD,2.7,SAD,1.97,0.35,0.04,0.11,(F うーん),0.34,0.52,0.43,0.22
0319_R.wav,ACC,2.04,SAD,3.77,0.31,0.08,0.15,(F うーん),0.58,0.67,0.57,1.2
0331_R.wav,SUR,0.38,SUR,2.65,0.86,0.71,0.69,<笑>,0.55,0.62,0.59,0.28
0402_R.wav,ACC,-1.98,ACC,4.76,0.92,0.78,0.76,<笑>,0.58,0.65,0.57,1.92
0404_R.wav,ACC,2.6,ACC,2.96,0.3,0.1,0.21,そうなんですよ(D お),0.62,0.68,0.55,1.8
0421_R.wav,SUR,-1.77,SUR,2.47,0.92,0.82,0.77,<笑>,0.58,0.69,0.59,1.57
0456_R.wav,SUR,1.2,JOY,0.31,0.2,0.65,0.63,要するに何か,0.06,0.58,0.48,1.15
0459_R.wav,ANG,0.96,DIS,2.07,0.3,0.56,0.58,大学入る時も何かありますよね何でしたっけ名前忘れたけど,0.04,0.56,0.51,0.61
0470_R.wav,ACC,3.25,ACC,4.11,0.4,0.09,0.2,(F うーん),0.18,0.52,0.36,1.96
0483_R.wav,SAD,2.25,SAD,0.63,0.43,0.6,0.61,やっぱり西,0.26,0.53,0.43,0.99
