filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0044_R.wav,DIS,1.97,FEA,0.09,0.49,0.52,0.49,多分(F あのー)多分ポイントポイントを話した方がいいんだろうなとは思ったんですけど,0.04,0.0,0.02,4.1
0065_R.wav,SAD,2.74,ACC,0.63,0.42,0.33,0.34,(F はい),0.19,0.03,0.07,3.12
0086_R.wav,ACC,1.96,ANG,-1.08,0.4,0.42,0.44,(F うー)聞いていたので知識はあったから,0.0,0.06,0.07,2.97
0096_R.wav,ACC,-0.88,ACC,4.71,0.74,0.63,0.58,<笑>,0.19,0.03,0.0,4.4
0140_R.wav,ANT,1.99,ACC,1.2,0.64,0.6,0.55,(F いや)そうでもないです全く,0.28,0.49,0.36,3.27
0163_R.wav,ANT,0.07,ACC,-1.52,0.35,0.47,0.46,先行ってた,0.51,0.26,0.24,3.78
0261_R.wav,ACC,0.17,ACC,0.43,0.68,0.56,0.56,(F ん)だから今日も送っていった後に来てそれで京浜東北線で(D ぬ)ずっと来たからあんな時間になったんですけど,0.3,0.14,0.19,3.09
0335_R.wav,SUR,1.14,SUR,5.82,0.95,0.8,0.77,<笑>,0.32,0.17,0.15,3.98
0336_R.wav,SUR,1.44,SUR,2.85,0.88,0.77,0.73,<笑>,0.07,0.03,0.04,2.97
0347_R.wav,ANT,1.07,FEA,0.03,0.35,0.29,0.31,その辺がやっぱり大変かなと,0.0,0.17,0.11,2.99
0353_R.wav,DIS,1.85,DIS,0.33,0.49,0.38,0.4,だから,0.05,0.05,0.0,3.81
0428_R.wav,ANT,-0.02,ANT,0.93,0.55,0.66,0.61,けど結局(F ま)半年一年たってから(D ひ)(F まー)結局二人で引っ越したんですけどね結局は(F そのー)博士課程にいる間も一緒に暮らして(F ん)広いところで,0.02,0.05,0.09,3.44
0458_R.wav,ANT,3.12,SUR,2.68,0.26,-0.0,0.07,(F えーとー),0.08,0.36,0.28,3.32
