filename,text,valence,arousal,dominance,delta_valence,delta_arousal,delta_dominance
0015_L.wav,<笑>,0.88,0.77,0.74,0.55,0.61,0.6
0034_L.wav,(F あー)本当本当,0.26,0.11,0.18,0.49,0.61,0.48
0047_L.wav,<笑>,0.86,0.8,0.74,0.5,0.6000000000000001,0.53
0054_L.wav,<笑>,0.96,0.91,0.85,0.5599999999999999,0.68,0.63
0122_L.wav,(F へー),0.37,0.18,0.23,0.61,0.69,0.5800000000000001
0135_L.wav,そうなんだ,0.35,0.02,0.15,0.63,0.83,0.66
0137_L.wav,(F え),0.61,0.64,0.57,0.26,0.62,0.4199999999999999
0256_L.wav,<笑>,0.9,0.8,0.76,0.44,0.65,0.51
0263_L.wav,送ってたんだ,0.33,0.2,0.23,0.56,0.6299999999999999,0.54
0301_L.wav,(F うーん)凄い,0.28,-0.05,0.09,0.0699999999999999,0.64,0.51
0349_L.wav,ねそれに自分の御両親が近くにいないから,0.57,0.62,0.62,0.2799999999999999,0.71,0.53
0435_L.wav,<笑>,0.75,0.66,0.63,0.41,0.6000000000000001,0.51
0447_L.wav,なるほどね,0.39,0.09,0.22,0.54,0.73,0.55
0500_L.wav,<笑>,0.88,0.79,0.72,0.56,0.8500000000000001,0.72
0504_L.wav,そうなんだ,0.32,0.04,0.16,0.5800000000000001,0.6699999999999999,0.52
