filename,text,valence,arousal,dominance,intensity_pred_kushinada,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0050_L.wav,(F ええ)(F ええ),0.39,0.35,0.35,6.53,0.01,0.17,0.17,4.12
0094_L.wav,(F うーん),0.43,0.37,0.36,4.89,0.03,0.18,0.19,4.239999999999999
0130_L.wav,(D2 お),0.14,0.24,0.2,0.85,0.26,0.0399999999999999,0.01,5.130000000000001
0159_L.wav,じゃ最近のはやりじゃないですか,0.37,0.62,0.6,-0.4,0.0499999999999999,0.2199999999999999,0.18,4.86
0230_L.wav,(F はい)(F はい)(F はい)(F はい),0.81,0.65,0.6,0.77,0.4600000000000001,0.35,0.3399999999999999,4.460000000000001
0238_L.wav,(F うーん),0.37,0.17,0.18,4.56,0.0999999999999999,0.04,0.02,4.25
0256_L.wav,<笑>,0.9,0.8,0.76,4.12,0.44,0.65,0.51,4.0600000000000005
0339_L.wav,そうですよね,0.4,0.08,0.16,6.05,0.11,0.43,0.3299999999999999,4.359999999999999
0357_L.wav,(F うーん),0.36,0.0,0.09,4.52,0.0499999999999999,0.56,0.4600000000000001,4.15
0377_L.wav,また大変でしょう小学校入ったら入ったでねきっとね,0.18,0.29,0.39,0.85,0.6699999999999999,0.43,0.26,5.050000000000001
0409_L.wav,(F うーん),0.28,0.17,0.21,4.87,0.1499999999999999,0.4399999999999999,0.38,4.2700000000000005
0434_L.wav,(F うーん),0.34,0.06,0.12,5.43,0.1299999999999999,0.29,0.29,4.49
0479_L.wav,(F ええ),0.35,0.11,0.16,5.59,0.28,0.3,0.3099999999999999,4.31
0482_L.wav,西に多いんですか,0.46,0.48,0.52,-0.37,0.11,0.37,0.36,5.96
