filename,text,valence,arousal,dominance,delta_valence,delta_arousal,delta_dominance
0015_L.wav,<笑>,0.88,0.77,0.74,0.55,0.61,0.6
0054_L.wav,<笑>,0.96,0.91,0.85,0.5599999999999999,0.68,0.63
0116_L.wav,<笑>,0.94,0.84,0.81,0.58,0.58,0.52
0122_L.wav,(F へー),0.37,0.18,0.23,0.61,0.69,0.5800000000000001
0135_L.wav,そうなんだ,0.35,0.02,0.15,0.63,0.83,0.66
0263_L.wav,送ってたんだ,0.33,0.2,0.23,0.56,0.6299999999999999,0.54
0297_L.wav,あれは(D お),0.34,0.32,0.29,0.5999999999999999,0.2699999999999999,0.37
0312_L.wav,<笑>,0.83,0.68,0.65,0.62,0.25,0.14
0314_L.wav,これこの子この後どうなるんだろう,0.28,0.71,0.66,0.5499999999999999,0.0299999999999999,0.01
0318_L.wav,感じですよね,0.29,0.15,0.24,0.55,0.49,0.37
0337_L.wav,大変だと思います,0.29,0.51,0.49,0.6400000000000001,0.3199999999999999,0.32
0377_L.wav,また大変でしょう小学校入ったら入ったでねきっとね,0.18,0.29,0.39,0.6699999999999999,0.43,0.26
0500_L.wav,<笑>,0.88,0.79,0.72,0.56,0.8500000000000001,0.72
0504_L.wav,そうなんだ,0.32,0.04,0.16,0.5800000000000001,0.6699999999999999,0.52
