filename,text,valence,arousal,dominance,delta_valence,delta_arousal,delta_dominance
0004_L.wav,今日はお疲れ様でした,0.52,0.39,0.4,0.11000000000000004,0.07,0.010000000000000009
0006_L.wav,どうでしたか,0.3,0.36,0.4,0.22000000000000003,0.030000000000000027,0.0
0007_L.wav,緊張します,0.64,0.41,0.46,0.34,0.04999999999999999,0.06
0009_L.wav,<笑>,0.66,0.65,0.57,0.020000000000000018,0.24000000000000005,0.10999999999999993
0012_L.wav,(F うーん),0.36,0.19,0.2,0.30000000000000004,0.46,0.36999999999999994
0013_L.wav,(F あ)(F うん)(F うん),0.33,0.16,0.14,0.02999999999999997,0.03,0.06
0015_L.wav,<笑>,0.88,0.77,0.74,0.55,0.61,0.6
0017_L.wav,<笑>,0.91,0.79,0.73,0.030000000000000027,0.020000000000000018,0.010000000000000009
0018_L.wav,<笑>,0.86,0.76,0.72,0.050000000000000044,0.030000000000000027,0.010000000000000009
0020_L.wav,あれね,0.33,0.35,0.38,0.53,0.41000000000000003,0.33999999999999997
0022_L.wav,<笑>,0.85,0.8,0.76,0.52,0.45000000000000007,0.38
0023_L.wav,(F いや)さっきのは結構スムーズに,0.48,0.63,0.64,0.37,0.17000000000000004,0.12
0025_L.wav,(F ええ)かなり流れが,0.42,0.55,0.54,0.06,0.07999999999999996,0.09999999999999998
0027_L.wav,よく,0.35,0.28,0.26,0.07,0.27,0.28
0028_L.wav,まとまってたと思いますけど,0.29,0.34,0.38,0.06,0.06,0.12
0030_L.wav,(F えー)でも人間の言葉って不思議ですよね通じてるんだけど後で聞くと,0.42,0.72,0.65,0.13,0.37999999999999995,0.27
0031_L.wav,とんでもないものいっぱいありますよね,0.75,0.72,0.66,0.33,0.0,0.010000000000000009
0034_L.wav,(F あー)本当本当,0.26,0.11,0.18,0.49,0.61,0.48000000000000004
0036_L.wav,本当ですね,0.37,0.16,0.24,0.10999999999999999,0.05,0.06
0039_L.wav,このテーマ,0.3,0.41,0.44,0.07,0.24999999999999997,0.2
0040_L.wav,私が研究をっていうのはなぜこのテーマにしたんですか,0.45,0.53,0.55,0.15000000000000002,0.12000000000000005,0.11000000000000004
0042_L.wav,(F うん)(F うん)(F うん),0.35,0.14,0.17,0.10000000000000003,0.39,0.38
0045_L.wav,(F うーん),0.36,0.2,0.21,0.010000000000000009,0.06,0.03999999999999998
0047_L.wav,<笑>,0.86,0.8,0.74,0.5,0.6000000000000001,0.53
0048_L.wav,なるほど,0.4,0.52,0.52,0.45999999999999996,0.28,0.21999999999999997
0050_L.wav,(F ええ)(F ええ),0.39,0.35,0.35,0.010000000000000009,0.17000000000000004,0.17000000000000004
0052_L.wav,(F あー),0.4,0.34,0.31,0.010000000000000009,0.009999999999999953,0.03999999999999998
0053_L.wav,(F うん)(F うん)(F うん),0.4,0.23,0.22,0.0,0.11000000000000001,0.09
0054_L.wav,<笑>,0.96,0.91,0.85,0.5599999999999999,0.68,0.63
0056_L.wav,裏をかいたんですね,0.52,0.62,0.61,0.43999999999999995,0.29000000000000004,0.24
0058_L.wav,なるほどねそうですか,0.39,0.21,0.28,0.13,0.41000000000000003,0.32999999999999996
0060_L.wav,お母さんなんですもんね,0.51,0.28,0.37,0.12,0.07000000000000003,0.08999999999999997
0062_L.wav,(F その)何か,0.28,0.6,0.57,0.22999999999999998,0.31999999999999995,0.19999999999999996
0063_L.wav,<FV>(F まー)音声学とか言語とかやってらっしゃってこう子供が,0.43,0.47,0.47,0.14999999999999997,0.13,0.09999999999999998
