filename,text,valence,arousal,dominance,delta_valence,delta_arousal,delta_dominance
0041_R.wav,(F うーん)初め何か人生を振り返って印象に残ったことって言われてそんな,0.54,0.55,0.53,0.21,0.49,0.43
0140_R.wav,(F いや)そうでもないです全く,0.64,0.6,0.55,0.28,0.49,0.36
0176_R.wav,けどその間違えるパターンがまた外国人のパターンとおんなじな場合があるからまたそれがそれで面白いんですけどね,0.65,0.63,0.62,0.24,0.4599999999999999,0.36
0183_R.wav,<息>,0.36,0.59,0.53,0.02,0.47,0.35
0215_R.wav,(F うん)(F うん),0.29,0.0,0.07,0.6300000000000001,0.78,0.6799999999999999
0219_R.wav,(F はい)そうです,0.6,0.56,0.54,0.31,0.56,0.47
0259_R.wav,(F うーん),0.26,0.05,0.11,0.62,0.7,0.6
0269_R.wav,んでまたお迎えが早いんですよ,0.65,0.55,0.48,0.34,0.53,0.37
0287_R.wav,(F うーん),0.36,0.11,0.18,0.2299999999999999,0.44,0.37
0288_R.wav,(F うーん)やっぱり一番目男の子っていうのは大変らしいですね,0.69,0.56,0.54,0.3299999999999999,0.45,0.36
0290_R.wav,(F うーん),0.35,0.04,0.11,0.3399999999999999,0.52,0.43
0291_R.wav,(F い)何かと今のとこ一人です(F はい),0.45,0.48,0.49,0.1,0.44,0.38
0319_R.wav,(F うーん),0.31,0.08,0.15,0.5800000000000001,0.67,0.57
0321_R.wav,そうですねやっぱり初めはなかなか夜寝られないこと<FV>,0.69,0.55,0.54,0.3799999999999999,0.47,0.39
0330_R.wav,(F うーん),0.31,0.09,0.1,0.12,0.45,0.43
0331_R.wav,<笑>,0.86,0.71,0.69,0.55,0.62,0.59
0401_R.wav,(F うーん),0.34,0.13,0.19,0.51,0.5,0.44
0402_R.wav,<笑>,0.92,0.78,0.76,0.5800000000000001,0.65,0.5700000000000001
0404_R.wav,そうなんですよ(D お),0.3,0.1,0.21,0.6200000000000001,0.68,0.55
0421_R.wav,<笑>,0.92,0.82,0.77,0.5800000000000001,0.69,0.5900000000000001
0456_R.wav,要するに何か,0.2,0.65,0.63,0.06,0.5800000000000001,0.48
0459_R.wav,大学入る時も何かありますよね何でしたっけ名前忘れたけど,0.3,0.56,0.58,0.0399999999999999,0.56,0.51
0470_R.wav,(F うーん),0.4,0.09,0.2,0.1799999999999999,0.52,0.36
0483_R.wav,やっぱり西,0.43,0.6,0.61,0.26,0.53,0.43
