filename,text,valence,arousal,dominance,delta_valence,delta_arousal,delta_dominance
0142_R.wav,<FV>(F その),0.12,0.25,0.2,0.52,0.35,0.35
0163_R.wav,先行ってた,0.35,0.47,0.46,0.51,0.26,0.2399999999999999
0164_R.wav,<笑>,0.89,0.75,0.72,0.54,0.28,0.2599999999999999
0212_R.wav,<笑>,0.92,0.78,0.75,0.56,0.31,0.27
0215_R.wav,(F うん)(F うん),0.29,0.0,0.07,0.6300000000000001,0.78,0.6799999999999999
0259_R.wav,(F うーん),0.26,0.05,0.11,0.62,0.7,0.6
0319_R.wav,(F うーん),0.31,0.08,0.15,0.5800000000000001,0.67,0.57
0331_R.wav,<笑>,0.86,0.71,0.69,0.55,0.62,0.59
0376_R.wav,<笑>,0.36,0.5,0.37,0.62,0.31,0.4
0401_R.wav,(F うーん),0.34,0.13,0.19,0.51,0.5,0.44
0402_R.wav,<笑>,0.92,0.78,0.76,0.5800000000000001,0.65,0.5700000000000001
0404_R.wav,そうなんですよ(D お),0.3,0.1,0.21,0.6200000000000001,0.68,0.55
0421_R.wav,<笑>,0.92,0.82,0.77,0.5800000000000001,0.69,0.5900000000000001
