filename,text,valence,arousal,dominance,delta_valence,delta_arousal,delta_dominance
0005_R.wav,(F (? あ))お疲れ様でした,0.62,0.39,0.43,0.35,0.25,0.15999999999999998
0008_R.wav,そうですね初めは凄い緊張しました,0.53,0.53,0.53,0.08999999999999997,0.14,0.10000000000000003
0010_R.wav,<笑>,0.83,0.72,0.66,0.29999999999999993,0.18999999999999995,0.13
0011_R.wav,けど私も(F あのー)例えば(D す)(F あのー)ここで録音している学会の(F あの)ビデオとか(D 見)見返してみても,0.64,0.59,0.57,0.18999999999999995,0.13,0.09000000000000008
0014_R.wav,(F あ)私(D く)何でこんなこと言ってるんだろうと言うか,0.89,0.65,0.64,0.25,0.06000000000000005,0.07000000000000006
0016_R.wav,もう何か書き起こしてみるとむちゃくちゃな何か構文になってたり,0.68,0.7,0.66,0.20999999999999996,0.04999999999999993,0.020000000000000018
0019_R.wav,それさっき言ったでしょうみたいなことおんなじこと繰り返してたりするので,0.62,0.66,0.62,0.06000000000000005,0.039999999999999925,0.040000000000000036
0021_R.wav,多分さっきのでもそういうことがあったんじゃないかというような感じです,0.75,0.72,0.68,0.13,0.05999999999999994,0.06000000000000005
0024_R.wav,(F あ)そうでした,0.61,0.5,0.49,0.14,0.21999999999999997,0.19000000000000006
0026_R.wav,(F あー)そうでした,0.91,0.78,0.74,0.30000000000000004,0.28,0.25
0029_R.wav,(F あ)そうですか,0.66,0.5,0.48,0.25,0.28,0.26
0032_R.wav,(F うーん),0.38,0.36,0.36,0.28,0.14,0.12
0033_R.wav,そうそうそう(F その)そうなんですよだから本当自分の声聞く程恥ずかしいことは,0.59,0.53,0.52,0.20999999999999996,0.17000000000000004,0.16000000000000003
0035_R.wav,ないんですけど,0.48,0.27,0.37,0.10999999999999999,0.26,0.15000000000000002
0037_R.wav,(F うん),0.42,0.21,0.15,0.06,0.060000000000000026,0.22
0038_R.wav,(F うーん),0.33,0.06,0.1,0.08999999999999997,0.15,0.04999999999999999
0041_R.wav,(F うーん)初め何か人生を振り返って印象に残ったことって言われてそんな,0.54,0.55,0.53,0.21000000000000002,0.49000000000000005,0.43000000000000005
0043_R.wav,印象に(D た),0.53,0.52,0.47,0.010000000000000009,0.030000000000000027,0.06000000000000005
0044_R.wav,多分(F あのー)多分ポイントポイントを話した方がいいんだろうなとは思ったんですけど,0.49,0.52,0.49,0.040000000000000036,0.0,0.020000000000000018
0046_R.wav,何かちょっと(F お)話して面白いことの方がいいのかなっていうのも一つ,0.63,0.62,0.6,0.14,0.09999999999999998,0.10999999999999999
0049_R.wav,あってで(F あの)ここから依頼された(R ××)さんからは,0.49,0.68,0.62,0.14,0.06000000000000005,0.020000000000000018
0051_R.wav,(F んー)例えば私が母になったこととかそういう(F うー)タイトルとか例えばで貰ってたんですけど(F うーん)じゃちょっとそれ以外で行こうとか,0.72,0.63,0.6,0.22999999999999998,0.050000000000000044,0.020000000000000018
0055_R.wav,<笑>,0.89,0.8,0.75,0.17000000000000004,0.17000000000000004,0.15000000000000002
0057_R.wav,<笑>,0.57,0.56,0.45,0.32000000000000006,0.24,0.3
0059_R.wav,そうですねそんな感じのことです,0.41,0.13,0.22,0.15999999999999998,0.43000000000000005,0.23
0061_R.wav,(F うーん)(F まー)そうです,0.61,0.36,0.41,0.2,0.22999999999999998,0.18999999999999997
0065_R.wav,(F はい),0.42,0.33,0.34,0.19,0.02999999999999997,0.06999999999999995
0067_R.wav,(F あー)やっぱりそうですね(F あのー),0.51,0.56,0.56,0.09000000000000002,0.23000000000000004,0.22000000000000003
0068_R.wav,私,0.48,0.43,0.42,0.030000000000000027,0.13000000000000006,0.14000000000000007
0069_R.wav,大学院の頃は,0.49,0.41,0.45,0.010000000000000009,0.020000000000000018,0.030000000000000027
0070_R.wav,同じ研究室の中に私みたいに,0.55,0.43,0.47,0.06000000000000005,0.020000000000000018,0.019999999999999962
0071_R.wav,(F あのー)(F (? ん))(F (? ん))第二言語習得の時の音声の獲得とかって(F ま)知覚発話みたいなことをやっているグループと,0.33,0.32,0.38,0.22000000000000003,0.10999999999999999,0.08999999999999997
0074_R.wav,もう一つ発達の(F その)赤ちゃんの言葉の獲得をやってるグループが,0.39,0.37,0.41,0.06,0.04999999999999999,0.02999999999999997
0076_R.wav,あって(F ま),0.52,0.51,0.52,0.13,0.14,0.11000000000000004
0077_R.wav,結局は(F その)私みたいな第二言語習得の時の言葉の音声の獲得みたいなことをやっていても最終的には(F そのー)(D い),0.36,0.57,0.58,0.16000000000000003,0.05999999999999994,0.05999999999999994
0079_R.wav,母語の獲得に繋がっていくところがあるんで,0.54,0.42,0.45,0.18000000000000005,0.14999999999999997,0.12999999999999995
0082_R.wav,(F ええ)あるんですけども(F ま),0.34,0.5,0.52,0.2,0.08000000000000002,0.07
0083_R.wav,それで,0.46,0.47,0.41,0.12,0.030000000000000027,0.11000000000000004
0084_R.wav,(F えー)発達に関しても(F まー)何となく,0.4,0.48,0.51,0.06,0.010000000000000009,0.10000000000000003
0086_R.wav,(F うー)聞いていたので知識はあったから,0.4,0.42,0.44,0.0,0.06,0.07
0089_R.wav,(F まー)自分の(D こゆい)子供を振り返ってみても色々と(F あー)やっぱりここはこうだとかそういうことはありましたし(D ん),0.61,0.43,0.47,0.20999999999999996,0.010000000000000009,0.02999999999999997
0093_R.wav,そうですね逆に何だろう私(F その)宮崎から来ているので(F あの)言葉のアクセントとかも時々実は間違えるんですね,0.55,0.6,0.58,0.05999999999999994,0.16999999999999998,0.10999999999999999
0096_R.wav,<笑>,0.74,0.63,0.58,0.18999999999999995,0.030000000000000027,0.0
0097_R.wav,でやっぱりそうでしょう,0.47,0.68,0.61,0.27,0.050000000000000044,0.030000000000000027
